frame,d,s,s_gaze,s_dist,s_loc
1,0.0,0.0,0.33,0.0,1
2,8.690723437145985,0.7076363636363636,0.41527272727272735,1.0,1
3,2.7267299907179012,0.3651640619642451,0.48836363636363644,0.4906919962871605,1
4,8.230621117952778,0.7715909090909091,0.5431818181818182,1.0,1
5,3.635192549746726,0.6589980642172849,0.5431818181818182,0.8540770198986903,1
6,11.524227994595973,0.7594090909090909,0.5188181818181818,1.0,1
7,11.16016587987091,0.7746363636363637,0.5492727272727274,1.0,1
8,9.33326867684657,0.7807272727272727,0.5614545454545454,1.0,1
9,12.102877405377782,0.7746363636363637,0.5492727272727274,1.0,1
10,11.651326837094366,0.7715909090909091,0.5431818181818182,1.0,1
11,12.024118547510886,0.7807272727272727,0.5614545454545454,1.0,1
12,11.15698696176562,0.6137727272727274,0.5675454545454546,1.0,0.66
13,11.030883699036707,0.7837727272727273,0.5675454545454546,1.0,1
14,11.574582733236749,0.6046363636363636,0.5492727272727274,1.0,0.66
15,12.014522360342664,0.7715909090909091,0.5431818181818182,1.0,1
16,11.539074011548399,0.6107272727272728,0.5614545454545454,1.0,0.66
17,9.71679589635595,0.6046363636363636,0.5492727272727274,1.0,0.66
18,8.66419162463214,0.7715909090909091,0.5431818181818182,1.0,1
19,8.920532491932658,0.732,0.4640000000000001,1.0,1
20,8.709677343046272,0.725909090909091,0.4518181818181819,1.0,1
21,9.201548258484705,0.7441818181818183,0.48836363636363644,1.0,1
22,9.14746692664328,0.6107272727272728,0.5614545454545454,1.0,0.66
23,8.684859750622696,0.6411818181818183,0.6223636363636365,1.0,0.66
24,9.336109016207978,0.6442272727272728,0.6284545454545455,1.0,0.66
25,8.980900658482717,0.6350909090909092,0.6101818181818182,1.0,0.66
26,8.946818949861534,0.6411818181818183,0.6223636363636365,1.0,0.66
27,8.662842928786665,0.4518181818181819,0.5736363636363637,1.0,0.33
28,7.736226017745472,0.4518181818181819,0.5736363636363637,1.0,0.33
29,7.633058431388196,0.4609545454545455,0.5919090909090909,1.0,0.33
30,7.03233091957416,0.4640000000000001,0.5980000000000001,1.0,0.33
31,6.917492786711139,0.4640000000000001,0.5980000000000001,1.0,0.33
32,7.40222452729003,0.46704545454545454,0.6040909090909091,1.0,0.33
33,7.138997357376818,0.6320454545454546,0.6040909090909091,1.0,0.66
34,6.790795686492967,0.46704545454545454,0.6040909090909091,1.0,0.33
35,7.354445348766648,0.44572727272727275,0.5614545454545454,1.0,0.33
36,6.9048432316206645,0.4487727272727273,0.5675454545454546,1.0,0.33
37,6.838819573282019,0.4609545454545455,0.5919090909090909,1.0,0.33
38,7.035769527280963,0.4640000000000001,0.5980000000000001,1.0,0.33
39,5.9208215581883685,0.4640000000000001,0.5980000000000001,1.0,0.33
40,6.680688180120765,0.46704545454545454,0.6040909090909091,1.0,0.33
41,6.4933389484633635,0.46704545454545454,0.6040909090909091,1.0,0.33
42,6.849118385247916,0.46704545454545454,0.6040909090909091,1.0,0.33
43,6.323548847992798,0.45486363636363636,0.5797272727272728,1.0,0.33
44,6.826190746918733,0.4609545454545455,0.5919090909090909,1.0,0.33
45,6.986665191228043,0.4640000000000001,0.5980000000000001,1.0,0.33
46,7.224513298495481,0.4640000000000001,0.5980000000000001,1.0,0.33
47,6.175294849110345,0.45486363636363636,0.5797272727272728,1.0,0.33
48,6.082683016066658,0.4609545454545455,0.5919090909090909,1.0,0.33
49,6.088059817275931,0.45486363636363636,0.5797272727272728,1.0,0.33
50,5.970062147972757,0.4518181818181819,0.5736363636363637,1.0,0.33
51,6.311267042295131,0.4426818181818182,0.5553636363636364,1.0,0.33
52,6.68131479942857,0.44572727272727275,0.5614545454545454,1.0,0.33
53,6.339061349742537,0.46704545454545454,0.6040909090909091,1.0,0.33
54,6.143543149787914,0.4487727272727273,0.5675454545454546,1.0,0.33
55,5.270948077787473,0.4487727272727273,0.5675454545454546,1.0,0.33
56,5.94362341282224,0.4487727272727273,0.5675454545454546,1.0,0.33
57,5.837203945390509,0.4487727272727273,0.5675454545454546,1.0,0.33
58,6.122150287449536,0.4396363636363637,0.5492727272727274,1.0,0.33
59,7.102783004601151,0.4183181818181818,0.5066363636363637,1.0,0.33
60,6.58969478128194,0.42745454545454553,0.524909090909091,1.0,0.33
61,6.588599066321495,0.4426818181818182,0.5553636363636364,1.0,0.33
62,5.995991374039214,0.43659090909090914,0.5431818181818182,1.0,0.33
63,5.453974091340165,0.43659090909090914,0.5431818181818182,1.0,0.33
64,5.51435334747627,0.43354545454545457,0.5370909090909091,1.0,0.33
65,5.945543796896488,0.42440909090909096,0.5188181818181818,1.0,0.33
66,6.102618215884392,0.4305,0.531,1.0,0.33
67,6.2340656164113435,0.42440909090909096,0.5188181818181818,1.0,0.33
68,6.0908603841985665,0.4213636363636364,0.5127272727272727,1.0,0.33
69,5.748554155787944,0.4396363636363637,0.5492727272727274,1.0,0.33
70,5.863703498015917,0.44572727272727275,0.5614545454545454,1.0,0.33
71,6.271333402125499,0.4305,0.531,1.0,0.33
72,6.399189529542961,0.4426818181818182,0.5553636363636364,1.0,0.33
73,6.224637658363255,0.43659090909090914,0.5431818181818182,1.0,0.33
74,6.336660820303665,0.42745454545454553,0.524909090909091,1.0,0.33
75,6.2410285586680585,0.4426818181818182,0.5553636363636364,1.0,0.33
76,6.088022768171994,0.44572727272727275,0.5614545454545454,1.0,0.33
77,6.006860808209726,0.4305,0.531,1.0,0.33
78,5.948785674775097,0.42440909090909096,0.5188181818181818,1.0,0.33
79,6.060224152988645,0.4000454545454546,0.4700909090909091,1.0,0.33
80,6.018505581796435,0.38177272727272726,0.43354545454545457,1.0,0.33
81,6.216831414540687,0.37568181818181823,0.4213636363636364,1.0,0.33
82,6.226385330774482,0.35436363636363644,0.3787272727272728,1.0,0.33
83,6.211368041991762,0.35436363636363644,0.3787272727272728,1.0,0.33
84,5.862773022619696,0.3665454545454546,0.40309090909090917,1.0,0.33
85,5.873931347130693,0.3787272727272728,0.42745454545454553,1.0,0.33
86,5.653566330536629,0.39395454545454545,0.45790909090909093,1.0,0.33
87,5.974079691508287,0.38177272727272726,0.43354545454545457,1.0,0.33
88,6.381272206514789,0.39395454545454545,0.45790909090909093,1.0,0.33
89,6.451948949091938,0.4000454545454546,0.4700909090909091,1.0,0.33
90,6.190078210382022,0.4213636363636364,0.5127272727272727,1.0,0.33
91,6.19603308611752,0.4122272727272728,0.4944545454545455,1.0,0.33
92,5.568398100005261,0.40613636363636363,0.4822727272727273,1.0,0.33
93,5.848000994771407,0.39395454545454545,0.45790909090909093,1.0,0.33
94,6.4140233313896475,0.38177272727272726,0.43354545454545457,1.0,0.33
