frame,d,s,s_gaze,s_dist,s_loc
114,0.0,0.0,0.03636363636363636,0.0,1
115,3.4007908560361915,0.30067055359117933,0.2909090909090909,0.7603163424144765,0.5
116,3.266473915195075,0.48176561323502043,0.36363636363636365,0.7065895660780299,1
117,3.4823383376906007,0.5514504830302943,0.39090909090909093,0.7929353350762403,1
118,3.7574159530395215,0.3858129083376637,0.35454545454545455,0.9029663812158086,0.5
119,3.3890342942106115,0.5048873477253816,0.33636363636363636,0.7556137176842446,1
120,3.4242589138917543,0.5212992330361298,0.35454545454545455,0.7697035655567017,1
121,3.367551981036259,0.5093323584644343,0.36363636363636365,0.7470207924145036,1
122,3.5462541306253446,0.3422825091227849,0.33636363636363636,0.8185016522501378,0.5
123,3.4345696747984924,0.5135403136737816,0.32727272727272727,0.773827869919397,1
124,3.2089036412113052,0.4629575318917899,0.35454545454545455,0.683561456484522,1
125,1.3864595953083272,0.0,0.41818181818181815,0.0,0.5
126,0.35077275592134993,0.0,0.5,0.0,0.5
127,0.6321298008282847,0.0,0.4727272727272727,0.0,0.5
128,0.7720163066664719,0.0,0.4090909090909091,0.0,0.5
129,0.7074250342760423,0.0,0.38181818181818183,0.0,0.25
130,1.7839794652195027,0.0495673248383132,0.37272727272727274,0.11359178608780107,0.5
131,1.877457892020275,0.047010664733434245,0.37272727272727274,0.15098315680810998,0.25
132,1.5080070347426697,0.001441266253680551,0.4,0.003202813897067891,0.5
133,1.490159360894594,0.0,0.38181818181818183,0.0,0.5
134,1.3832899344946041,0.0,0.37272727272727274,0.0,0.25
135,1.3922047739239987,0.0,0.37272727272727274,0.0,0.5
136,1.461191027347478,0.0,0.37272727272727274,0.0,0.5
137,1.520925844932204,0.0036144641246534286,0.36363636363636365,0.008370337972881624,0.5
138,1.6856899848136995,0.03342419726646591,0.4,0.07427599392547979,0.5
139,1.7232533333703501,0.03937376970349812,0.38181818181818183,0.08930133334814006,0.5
140,1.706167445610622,0.03935923961657328,0.45454545454545453,0.08246697824424878,0.5
141,1.6282017415843708,0.017365508632792046,0.42727272727272725,0.051280696633748325,0.25
142,1.773674684476843,0.03508011864657714,0.39090909090909093,0.10946987379073718,0.25
143,1.9752407804676475,0.062645375607099,0.4090909090909091,0.190096312187059,0.25
144,2.1262621415734,0.08255273684376639,0.4090909090909091,0.25050485662936006,0.25
145,1.914831914499491,0.05468238872947836,0.4090909090909091,0.16593276579979638,0.25
146,1.7810972716886397,0.037053731268047965,0.4090909090909091,0.11243890867545589,0.25
147,1.6295480509467726,0.017312330444705062,0.41818181818181815,0.05181922037870903,0.25
148,1.585757838913226,0.011460365745676576,0.41818181818181815,0.03430313556529043,0.25
149,1.4051388926419692,0.0,0.41818181818181815,0.0,0.25
150,1.234772566606204,0.0,0.44545454545454544,0.0,0.25
151,1.2590049214592172,0.0,0.45454545454545453,0.0,0.25
152,1.153656850357323,0.0,0.45454545454545453,0.0,0.5
153,1.121272742219939,0.0,0.4909090909090909,0.0,0.5
154,1.0083451687078573,0.0,0.5272727272727272,0.0,0.5
155,0.8680531758446635,0.0,0.5727272727272728,0.0,0.5
156,0.8434310360291782,0.0,0.5909090909090909,0.0,0.5
157,0.7041584108416764,0.0,0.6,0.0,0.5
158,0.6461042833937051,0.0,0.5727272727272728,0.0,0.5
159,0.5730550523540856,0.0,0.5636363636363636,0.0,0.5
160,0.5457943106392703,0.0,0.6090909090909091,0.0,0.5
161,0.3223683332640615,0.0,0.6,0.0,0.5
162,0.32373112791991554,0.0,0.6363636363636364,0.0,0.5
163,0.1845603960302482,0.0,0.6363636363636364,0.0,0.5
164,0.25702904344286537,0.0,0.6727272727272727,0.0,0.5
165,0.1926186758318831,0.0,0.6818181818181818,0.0,0.5
166,0.2607429376813157,0.0,0.6909090909090909,0.0,0.5
167,0.313871870370299,0.0,0.6909090909090909,0.0,0.25
168,0.41862872954829167,0.0,0.6909090909090909,0.0,0.25
169,0.578545179430207,0.0,0.6909090909090909,0.0,0.25
170,0.6959041384192264,0.0,0.6909090909090909,0.0,0.5
171,0.7740103742700762,0.0,0.6909090909090909,0.0,0.5
172,0.7965124672082251,0.0,0.6909090909090909,0.0,0.5
173,0.8987301483787979,0.0,0.6909090909090909,0.0,0.5
174,1.0376794993879657,0.0,0.6636363636363637,0.0,0.5
175,1.0336559137882306,0.0,0.6545454545454545,0.0,0.25
176,1.240902086778898,0.0,0.6454545454545455,0.0,0.5
177,1.3002274937818614,0.0,0.6454545454545455,0.0,0.5
178,1.3327693115067718,0.0,0.6454545454545455,0.0,0.25
179,1.2725773335283628,0.0,0.6181818181818182,0.0,0.25
180,1.4715035548699966,0.0,0.6,0.0,0.25
181,1.4267964757173757,0.0,0.6,0.0,0.25
182,1.002624802489253,0.0,0.6,0.0,0.25
183,1.8323144315716853,0.056493453367186496,0.6,0.1329257726286741,0.25
